Pos.,No.,Name,RName,Team,Ht.m,Wt.kg,BMI,KPmin,Avg..Speed,z.BMI,z.Speed
F/C,16,Pau Gasol,P. Gasol,POR,2.13,113,24.91,1008,4.11,0.22,-0.7
F/C,16,Pau Gasol,P. Gasol,All,2.13,113,24.91,1008,4.11,0.22,-0.7
F,44,Mario Hezonja,M. Hezonja,POR,2.03,102,24.75,1170,4.31,0.12,0.32
F,44,Mario Hezonja,M. Hezonja,All,2.03,102,24.75,1170,4.31,0.12,0.32
F,5,Rodney Hood,R. Hood,POR,2.03,93,22.57,2044,4.2,-1.28,-0.24
F,5,Rodney Hood,R. Hood,All,2.03,93,22.57,2044,4.2,-1.28,-0.24
F,17,Skal Labissiere,S. Labissiere,POR,2.11,107,24.03,390,4.31,-0.34,0.32
F,17,Skal Labissiere,S. Labissiere,All,2.11,107,24.03,390,4.31,-0.34,0.32
G,0,Damian Lillard,D. Lillard,POR,1.91,88,24.12,2730,3.99,-0.28,-1.31
G,0,Damian Lillard,D. Lillard,All,1.91,88,24.12,2730,3.99,-0.28,-1.31
C,27,Jusuf Nurkic,J. Nurkic,POR,2.13,125,27.55,700,4.08,1.92,-0.85
C,27,Jusuf Nurkic,J. Nurkic,All,2.13,125,27.55,700,4.08,1.92,-0.85
G,1,Anfernee Simons,A. Simons,POR,1.93,84,22.55,1560,4.35,-1.29,0.53
G,1,Anfernee Simons,A. Simons,All,1.93,84,22.55,1560,4.35,-1.29,0.53
F,43,Anthony Tolliver,A. Tolliver,POR,2.03,113,27.42,1170,4.32,1.84,0.37
F,43,Anthony Tolliver,A. Tolliver,All,2.03,113,27.42,1170,4.32,1.84,0.37
G,2,Gary Trent Jr.,G. Trent Jr.,POR,1.98,93,23.72,222,4.1,-0.54,-0.75
G,2,Gary Trent Jr.,G. Trent Jr.,All,1.98,93,23.72,222,4.1,-0.54,-0.75
C,21,Hassan Whiteside,H. Whiteside,POR,2.13,120,26.45,2128,3.91,1.21,-1.72
C,21,Hassan Whiteside,H. Whiteside,All,2.13,120,26.45,2128,3.91,1.21,-1.72
F,44,Bojan Bogdanovic,B. Bogdanovic,UTA,2.03,98,23.78,2496,4.13,-0.5,-0.6
F,44,Bojan Bogdanovic,B. Bogdanovic,All,2.03,98,23.78,2496,4.13,-0.5,-0.6
C,13,Tony Bradley,T. Bradley,UTA,2.08,112,25.89,154,4.34,0.85,0.47
C,13,Tony Bradley,T. Bradley,All,2.08,112,25.89,154,4.34,0.85,0.47
G,10,Mike Conley,M. Conley,UTA,1.85,79,23.08,2112,4.31,-0.95,0.32
G,10,Mike Conley,M. Conley,All,1.85,79,23.08,2112,4.31,-0.95,0.32
C,17,Ed Davis,E. Davis,UTA,2.08,102,23.58,1292,4.19,-0.63,-0.29
C,17,Ed Davis,E. Davis,All,2.08,102,23.58,1292,4.19,-0.63,-0.29
G,11,Dante Exum,D. Exum,UTA,1.98,86,21.94,1026,4.61,-1.69,1.86
G,11,Dante Exum,D. Exum,All,1.98,86,21.94,1026,4.61,-1.69,1.86
C,27,Rudy Gobert,R. Gobert,UTA,2.16,111,23.79,2464,4.19,-0.5,-0.29
C,27,Rudy Gobert,R. Gobert,All,2.16,111,23.79,2464,4.19,-0.5,-0.29
F,22,Jeff Green,J. Green,UTA,2.06,107,25.21,1155,3.81,0.42,-2.23
F,22,Jeff Green,J. Green,All,2.06,107,25.21,1155,3.81,0.42,-2.23
F,2,Joe Ingles,J. Ingles,UTA,2.03,103,24.99,2340,4.25,0.28,0.01
F,2,Joe Ingles,J. Ingles,All,2.03,103,24.99,2340,4.25,0.28,0.01
G,45,Donovan Mitchell,D. Mitchell,UTA,1.91,98,26.86,2652,4.08,1.48,-0.85
G,45,Donovan Mitchell,D. Mitchell,All,1.91,98,26.86,2652,4.08,1.48,-0.85
G,8,Emmanuel Mudiay,E. Mudiay,UTA,1.96,91,23.69,1350,4.45,-0.56,1.04
G,8,Emmanuel Mudiay,E. Mudiay,All,1.96,91,23.69,1350,4.45,-0.56,1.04
F,31,Georges Niang,G. Niang,UTA,2.03,104,25.24,780,4.43,0.43,0.93
F,31,Georges Niang,G. Niang,All,2.03,104,25.24,780,4.43,0.43,0.93
F,23,Royce O'Neale,R. O'Neale,UTA,1.98,103,26.27,1547,4.37,1.1,0.63
F,23,Royce O'Neale,R. O'Neale,All,1.98,103,26.27,1547,4.37,1.1,0.63
G,8,Alec Burks,A. Burks,GSW,1.98,97,24.74,1672,4.22,0.12,-0.14
G,8,Alec Burks,A. Burks,All,1.98,97,24.74,1672,4.22,0.12,-0.14
C,2,Willie Cauley-Stein,W. Cauley-Stein,GSW,2.13,109,24.03,1460,4.16,-0.34,-0.45
C,2,Willie Cauley-Stein,W. Cauley-Stein,All,2.13,109,24.03,1460,4.16,-0.34,-0.45
F,32,Marquese Chriss,M. Chriss,GSW,2.08,109,25.19,624,4.27,0.41,0.12
F,32,Marquese Chriss,M. Chriss,All,2.08,109,25.19,624,4.27,0.41,0.12
G,30,Stephen Curry,S. Curry,GSW,1.91,86,23.57,2516,4.34,-0.64,0.47
G,30,Stephen Curry,S. Curry,All,1.91,86,23.57,2516,4.34,-0.64,0.47
G,10,Jacob Evans,J. Evans,GSW,1.98,95,24.23,780,4.51,-0.21,1.34
G,10,Jacob Evans,J. Evans,All,1.98,95,24.23,780,4.51,-0.21,1.34
F,23,Draymond Green,D. Green,GSW,2.01,104,25.74,2432,3.82,0.76,-2.18
F,23,Draymond Green,D. Green,All,2.01,104,25.74,2432,3.82,0.76,-2.18
G/F,1,Damion Lee,D. Lee,GSW,1.98,95,24.23,546,4.71,-0.21,2.37
G/F,1,Damion Lee,D. Lee,All,1.98,95,24.23,546,4.71,-0.21,2.37
F/C,5,Kevon Looney,K. Looney,GSW,2.06,100,23.56,1560,4.3,-0.64,0.27
F/C,5,Kevon Looney,K. Looney,All,2.06,100,23.56,1560,4.3,-0.64,0.27
F,28,Alfonzo McKinnie,A. McKinnie,GSW,2.03,98,23.78,390,4.68,-0.5,2.21
F,28,Alfonzo McKinnie,A. McKinnie,All,2.03,98,23.78,390,4.68,-0.5,2.21
G/F,22,Glenn Robinson III,G. Robinson III,GSW,1.98,101,25.76,1656,4.66,0.77,2.11
G/F,22,Glenn Robinson III,G. Robinson III,All,1.98,101,25.76,1656,4.66,0.77,2.11
G,0,D'Angelo Russell,D. Russell,GSW,1.96,90,23.43,2368,4.14,-0.73,-0.55
